CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Finlandia,2021T4,"3855821,25","2878,00","8,03"
"Balears, Illes",Finlandia,2021T3,"3428427,42","2208,00","7,57"
"Balears, Illes",Finlandia,2021T2,"1067788,94","463,00","8,40"
"Balears, Illes",Finlandia,2021T1,"107716,70","155,00","8,57"
"Balears, Illes",Finlandia,2020T4,"125276,83","212,00","14,10"
"Balears, Illes",Finlandia,2020T3,"588236,12","469,00","11,87"
"Balears, Illes",Finlandia,2020T2,"0,00","126,00","13,03"
"Balears, Illes",Finlandia,2020T1,"928930,88","1208,00","8,40"
"Balears, Illes",Francia,2023T2,"199793907,74","327514,00","5,27"
"Balears, Illes",Francia,2023T1,"25390224,60","40843,00","6,93"
"Balears, Illes",Francia,2022T4,"66231362,33","129341,00","7,27"
"Balears, Illes",Francia,2022T3,"272896368,91","434774,00","6,73"
"Balears, Illes",Francia,2022T2,"202758195,13","358778,00","5,93"
"Balears, Illes",Francia,2022T1,"21536046,40","31165,00","9,93"
"Balears, Illes",Francia,2021T4,"62121631,24","99823,00","8,63"
"Balears, Illes",Francia,2021T3,"281511439,12","403259,00","7,23"
"Balears, Illes",Francia,2021T2,"78765337,10","98744,00","7,93"
"Balears, Illes",Francia,2021T1,"4708932,60","15856,00","10,83"
"Balears, Illes",Francia,2020T4,"10815163,07","41402,00","13,40"
"Balears, Illes",Francia,2020T3,"90824878,43","161735,00","9,27"
"Balears, Illes",Francia,2020T2,"0,00","10413,00","15,73"
"Balears, Illes",Francia,2020T1,"12683125,60","31720,00","10,13"
"Balears, Illes",Irlanda,2023T2,"64265176,25","90677,00","6,03"
"Balears, Illes",Irlanda,2023T1,"6469630,90","2265,00","7,87"
"Balears, Illes",Irlanda,2022T4,"18103134,02","25459,00","7,47"
"Balears, Illes",Irlanda,2022T3,"67032857,97","115217,00","6,80"
"Balears, Illes",Irlanda,2022T2,"61132173,70","79589,00","5,87"
"Balears, Illes",Irlanda,2022T1,"3616948,15","1272,00","9,67"
"Balears, Illes",Irlanda,2021T4,"13103956,08","7771,00","9,47"
"Balears, Illes",Irlanda,2021T3,"28367886,79","15653,00","7,63"
"Balears, Illes",Irlanda,2021T2,"3240078,27","850,00","10,37"
"Balears, Illes",Irlanda,2021T1,"450883,30","332,00","12,53"
"Balears, Illes",Irlanda,2020T4,"866403,44","761,00","15,57"
"Balears, Illes",Irlanda,2020T3,"4154738,95","3031,00","9,37"
"Balears, Illes",Irlanda,2020T2,"0,00","266,00","12,90"
"Balears, Illes",Irlanda,2020T1,"1664922,03","998,00","7,33"
"Balears, Illes",Italia,2023T2,"117415103,72","269827,00","4,10"
"Balears, Illes",Italia,2023T1,"13721531,35","36159,00","4,33"
"Balears, Illes",Italia,2022T4,"30782441,84","93899,00","4,43"
"Balears, Illes",Italia,2022T3,"215330455,28","463041,00","5,70"
"Balears, Illes",Italia,2022T2,"115187306,12","225333,00","4,30"
"Balears, Illes",Italia,2022T1,"11676551,73","17781,00","6,53"
"Balears, Illes",Italia,2021T4,"21053222,89","52941,00","5,27"
"Balears, Illes",Italia,2021T3,"125521663,70","183891,00","6,27"
"Balears, Illes",Italia,2021T2,"29823447,49","28155,00","7,70"
"Balears, Illes",Italia,2021T1,"2449867,32","5100,00","10,93"
"Balears, Illes",Italia,2020T4,"3473994,75","9854,00","14,50"
"Balears, Illes",Italia,2020T3,"45964971,24","91304,00","9,13"
"Balears, Illes",Italia,2020T2,"0,00","4742,00","15,33"
"Balears, Illes",Italia,2020T1,"7185380,92","19593,00","8,33"
"Balears, Illes",Noruega,2023T2,"37727469,96","45214,00","5,90"
"Balears, Illes",Noruega,2023T1,"3211391,63","1542,00","7,80"
"Balears, Illes",Noruega,2022T4,"14588759,48","15394,00","7,77"
"Balears, Illes",Noruega,2022T3,"60278457,91","71299,00","6,73"
"Balears, Illes",Noruega,2022T2,"45684427,09","42552,00","5,80"
"Balears, Illes",Noruega,2022T1,"2576347,79","1028,00","8,53"
"Balears, Illes",Noruega,2021T4,"8289666,63","5136,00","8,40"
"Balears, Illes",Noruega,2021T3,"8674290,68","4518,00","8,07"
"Balears, Illes",Noruega,2021T2,"1305853,53","534,00","9,37"
"Balears, Illes",Noruega,2021T1,"255576,14","318,00","11,40"
"Balears, Illes",Noruega,2020T4,"347027,26","506,00","14,70"
