RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M03;3,4
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M01;.
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M09;7,9
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M08;.
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M07;.
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M06;5,9
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M05;.
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M04;5,0
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M03;7,7
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M02;5,5
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M01;8,3
Total;Europa;Alemania;Turistas;Balears, Illes;2023M09;613.747
Total;Europa;Alemania;Turistas;Balears, Illes;2023M08;559.131
Total;Europa;Alemania;Turistas;Balears, Illes;2023M07;597.478
Total;Europa;Alemania;Turistas;Balears, Illes;2023M06;616.794
Total;Europa;Alemania;Turistas;Balears, Illes;2023M05;538.655
Total;Europa;Alemania;Turistas;Balears, Illes;2023M04;404.824
Total;Europa;Alemania;Turistas;Balears, Illes;2023M03;183.438
Total;Europa;Alemania;Turistas;Balears, Illes;2023M02;93.016
Total;Europa;Alemania;Turistas;Balears, Illes;2023M01;64.145
Total;Europa;Alemania;Turistas;Canarias;2023M09;174.454
Total;Europa;Alemania;Turistas;Canarias;2023M08;149.989
Total;Europa;Alemania;Turistas;Canarias;2023M07;164.964
Total;Europa;Alemania;Turistas;Canarias;2023M06;153.926
Total;Europa;Alemania;Turistas;Canarias;2023M05;158.251
Total;Europa;Alemania;Turistas;Canarias;2023M04;234.215
Total;Europa;Alemania;Turistas;Canarias;2023M03;235.858
Total;Europa;Alemania;Turistas;Canarias;2023M02;216.856
Total;Europa;Alemania;Turistas;Canarias;2023M01;209.418
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M09;4.234.854
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M08;4.081.656
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M07;4.122.598
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M06;4.009.161
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M05;3.339.661
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M04;2.631.356
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M03;1.302.410
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M02;651.112
Total;Europa;Alemania;Pernoctaciones;Balears, Illes;2023M01;538.818
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M09;1.660.450
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M08;1.428.074
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M07;1.542.397
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M06;1.427.463
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M05;1.504.408
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M04;2.016.468
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M03;2.205.956
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M02;2.074.010
Total;Europa;Alemania;Pernoctaciones;Canarias;2023M01;2.006.868
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M09;6,9
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M08;7,3
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M07;6,9
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M06;6,5
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M05;6,2
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M04;6,5
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M03;7,1
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M02;7,0
Total;Europa;Alemania;Duración media de los viajes;Balears, Illes;2023M01;8,4
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M09;9,5
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M08;9,5
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M07;9,3
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M06;9,3
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M05;9,5
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M04;8,6
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M03;9,4
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M02;9,6
Total;Europa;Alemania;Duración media de los viajes;Canarias;2023M01;9,6
Total;Europa;Andorra;Turistas;Balears, Illes;2023M09;916
Total;Europa;Andorra;Turistas;Balears, Illes;2023M08;1.127
Total;Europa;Andorra;Turistas;Balears, Illes;2023M07;1.280
Total;Europa;Andorra;Turistas;Balears, Illes;2023M06;936
Total;Europa;Andorra;Turistas;Balears, Illes;2023M05;734
Total;Europa;Andorra;Turistas;Balears, Illes;2023M04;665
Total;Europa;Andorra;Turistas;Balears, Illes;2023M03;176
Total;Europa;Andorra;Turistas;Balears, Illes;2023M02;100
Total;Europa;Andorra;Turistas;Balears, Illes;2023M01;136
Total;Europa;Andorra;Turistas;Canarias;2023M09;111
Total;Europa;Andorra;Turistas;Canarias;2023M08;96
Total;Europa;Andorra;Turistas;Canarias;2023M07;236
Total;Europa;Andorra;Turistas;Canarias;2023M06;223
Total;Europa;Andorra;Turistas;Canarias;2023M05;200
Total;Europa;Andorra;Turistas;Canarias;2023M04;259
Total;Europa;Andorra;Turistas;Canarias;2023M03;176
Total;Europa;Andorra;Turistas;Canarias;2023M02;117
Total;Europa;Andorra;Turistas;Canarias;2023M01;205
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M09;9.160
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M08;12.397
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M07;10.880
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M06;7.301
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M05;4.991
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M04;4.057
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M03;1.091
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M02;520
Total;Europa;Andorra;Pernoctaciones;Balears, Illes;2023M01;1.047
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M09;1.057
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M08;980
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M07;2.012
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M06;1.993
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M05;1.700
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M04;2.010
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M03;1.365
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M02;1.025
Total;Europa;Andorra;Pernoctaciones;Canarias;2023M01;1.522
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M09;10,0
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M08;11,0
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M07;8,5
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M06;7,8
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M05;6,8
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M04;6,1
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M03;6,2
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M02;5,2
Total;Europa;Andorra;Duración media de los viajes;Balears, Illes;2023M01;7,7
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M09;9,5
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M08;10,2
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M07;8,5
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M06;8,9
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M05;8,5
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M04;7,8
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M03;7,8
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M02;8,8
Total;Europa;Andorra;Duración media de los viajes;Canarias;2023M01;7,4
Total;Europa;Armenia;Turistas;Balears, Illes;2023M09;103
Total;Europa;Armenia;Turistas;Balears, Illes;2023M08;175
