RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M09;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M08;162
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M07;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M06;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M05;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M04;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M03;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M02;.
Total;Europa;Mónaco;Pernoctaciones;Balears, Illes;2023M01;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M09;""
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M08;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M07;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M06;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M05;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M04;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M03;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M02;.
Total;Europa;Mónaco;Pernoctaciones;Canarias;2023M01;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M09;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M08;4,9
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M07;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M06;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M05;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M04;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M03;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Mónaco;Duración media de los viajes;Balears, Illes;2023M01;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M09;""
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M08;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M07;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M06;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M05;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M04;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M03;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M02;.
Total;Europa;Mónaco;Duración media de los viajes;Canarias;2023M01;.
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M09;120
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M08;118
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M07;136
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M06;136
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M05;152
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M04;44
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M03;41
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M02;.
Total;Europa;Montenegro;Turistas;Balears, Illes;2023M01;50
Total;Europa;Montenegro;Turistas;Canarias;2023M09;59
Total;Europa;Montenegro;Turistas;Canarias;2023M08;.
Total;Europa;Montenegro;Turistas;Canarias;2023M07;.
Total;Europa;Montenegro;Turistas;Canarias;2023M06;51
Total;Europa;Montenegro;Turistas;Canarias;2023M05;.
Total;Europa;Montenegro;Turistas;Canarias;2023M04;59
Total;Europa;Montenegro;Turistas;Canarias;2023M03;30
Total;Europa;Montenegro;Turistas;Canarias;2023M02;67
Total;Europa;Montenegro;Turistas;Canarias;2023M01;76
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M09;588
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M08;779
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M07;857
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M06;517
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M05;578
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M04;128
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M03;152
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M02;.
Total;Europa;Montenegro;Pernoctaciones;Balears, Illes;2023M01;175
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M09;419
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M08;.
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M07;.
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M06;248
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M05;.
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M04;261
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M03;258
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M02;482
Total;Europa;Montenegro;Pernoctaciones;Canarias;2023M01;508
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M09;4,9
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M08;6,6
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M07;6,3
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M06;3,8
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M05;3,8
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M04;2,9
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M03;3,7
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Montenegro;Duración media de los viajes;Balears, Illes;2023M01;3,5
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M09;7,1
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M08;.
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M07;.
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M06;4,9
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M05;.
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M04;4,4
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M03;8,6
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M02;7,2
Total;Europa;Montenegro;Duración media de los viajes;Canarias;2023M01;6,7
Total;Europa;Noruega;Turistas;Balears, Illes;2023M09;13.879
Total;Europa;Noruega;Turistas;Balears, Illes;2023M08;17.085
Total;Europa;Noruega;Turistas;Balears, Illes;2023M07;41.089
Total;Europa;Noruega;Turistas;Balears, Illes;2023M06;19.207
Total;Europa;Noruega;Turistas;Balears, Illes;2023M05;16.183
Total;Europa;Noruega;Turistas;Balears, Illes;2023M04;9.824
Total;Europa;Noruega;Turistas;Balears, Illes;2023M03;796
Total;Europa;Noruega;Turistas;Balears, Illes;2023M02;344
Total;Europa;Noruega;Turistas;Balears, Illes;2023M01;402
Total;Europa;Noruega;Turistas;Canarias;2023M09;7.210
Total;Europa;Noruega;Turistas;Canarias;2023M08;9.680
Total;Europa;Noruega;Turistas;Canarias;2023M07;17.616
Total;Europa;Noruega;Turistas;Canarias;2023M06;6.240
Total;Europa;Noruega;Turistas;Canarias;2023M05;4.824
Total;Europa;Noruega;Turistas;Canarias;2023M04;25.195
Total;Europa;Noruega;Turistas;Canarias;2023M03;40.713
Total;Europa;Noruega;Turistas;Canarias;2023M02;43.690
Total;Europa;Noruega;Turistas;Canarias;2023M01;36.794
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M09;80.498
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M08;119.595
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M07;332.821
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M06;119.083
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M05;93.861
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M04;55.997
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M03;5.890
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M02;2.649
Total;Europa;Noruega;Pernoctaciones;Balears, Illes;2023M01;3.337
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M09;62.133
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M08;90.992
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M07;161.754
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M06;54.672
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M05;44.248
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M04;229.489
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M03;408.784
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M02;419.442
Total;Europa;Noruega;Pernoctaciones;Canarias;2023M01;305.994
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M09;5,8
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M08;7,0
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M07;8,1
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M06;6,2
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M05;5,8
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M04;5,7
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M03;7,4
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M02;7,7
Total;Europa;Noruega;Duración media de los viajes;Balears, Illes;2023M01;8,3
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M09;8,6
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M08;9,4
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M07;9,2
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M06;8,8
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M05;9,2
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M04;9,1
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M03;10,0
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M02;9,6
Total;Europa;Noruega;Duración media de los viajes;Canarias;2023M01;8,3
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M09;67.114
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M08;93.305
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M07;73.479
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M06;79.040
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M05;55.374
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M04;24.389
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M03;11.132
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M02;7.318
Total;Europa;Países Bajos;Turistas;Balears, Illes;2023M01;10.880
Total;Europa;Países Bajos;Turistas;Canarias;2023M09;40.797
Total;Europa;Países Bajos;Turistas;Canarias;2023M08;55.702
Total;Europa;Países Bajos;Turistas;Canarias;2023M07;41.143
Total;Europa;Países Bajos;Turistas;Canarias;2023M06;40.413
Total;Europa;Países Bajos;Turistas;Canarias;2023M05;38.074
Total;Europa;Países Bajos;Turistas;Canarias;2023M04;29.033
Total;Europa;Países Bajos;Turistas;Canarias;2023M03;39.731
Total;Europa;Países Bajos;Turistas;Canarias;2023M02;30.750
Total;Europa;Países Bajos;Turistas;Canarias;2023M01;63.751
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M09;395.973
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M08;634.474
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M07;440.874
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M06;474.240
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M05;326.707
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M04;136.578
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M03;77.924
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M02;56.349
Total;Europa;Países Bajos;Pernoctaciones;Balears, Illes;2023M01;88.128
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M09;307.541
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M08;438.722
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M07;295.203
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M06;328.653
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M05;291.609
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M04;224.840
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M03;305.795
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M02;253.367
Total;Europa;Países Bajos;Pernoctaciones;Canarias;2023M01;493.770
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M09;5,9
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M08;6,8
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M07;6,0
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M06;6,0
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M05;5,9
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M04;5,6
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M03;7,0
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M02;7,7
Total;Europa;Países Bajos;Duración media de los viajes;Balears, Illes;2023M01;8,1
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M09;7,5
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M08;7,9
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M07;7,2
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M06;8,1
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M05;7,7
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M04;7,7
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M03;7,7
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M02;8,2
Total;Europa;Países Bajos;Duración media de los viajes;Canarias;2023M01;7,7
Total;Europa;Polonia;Turistas;Balears, Illes;2023M09;37.299
Total;Europa;Polonia;Turistas;Balears, Illes;2023M08;38.577
Total;Europa;Polonia;Turistas;Balears, Illes;2023M07;36.192
Total;Europa;Polonia;Turistas;Balears, Illes;2023M06;24.688
Total;Europa;Polonia;Turistas;Balears, Illes;2023M05;22.678
Total;Europa;Polonia;Turistas;Balears, Illes;2023M04;22.486
Total;Europa;Polonia;Turistas;Balears, Illes;2023M03;3.383
Total;Europa;Polonia;Turistas;Balears, Illes;2023M02;2.500
Total;Europa;Polonia;Turistas;Balears, Illes;2023M01;2.455
Total;Europa;Polonia;Turistas;Canarias;2023M09;31.901
Total;Europa;Polonia;Turistas;Canarias;2023M08;33.682
Total;Europa;Polonia;Turistas;Canarias;2023M07;30.199
Total;Europa;Polonia;Turistas;Canarias;2023M06;17.198
Total;Europa;Polonia;Turistas;Canarias;2023M05;19.619
Total;Europa;Polonia;Turistas;Canarias;2023M04;24.240
Total;Europa;Polonia;Turistas;Canarias;2023M03;23.778
Total;Europa;Polonia;Turistas;Canarias;2023M02;26.538
Total;Europa;Polonia;Turistas;Canarias;2023M01;26.184
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M09;201.415
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M08;212.174
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M07;231.629
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M06;135.784
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M05;115.658
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M04;114.679
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M03;20.636
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M02;16.000
Total;Europa;Polonia;Pernoctaciones;Balears, Illes;2023M01;15.712
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M09;203.522
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M08;224.471
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M07;206.002
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M06;113.207
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M05;131.195
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M04;170.250
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M03;162.145
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M02;179.769
Total;Europa;Polonia;Pernoctaciones;Canarias;2023M01;179.642
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M09;5,4
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M08;5,5
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M07;6,4
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M06;5,5
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M05;5,1
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M04;5,1
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M03;6,1
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M02;6,4
Total;Europa;Polonia;Duración media de los viajes;Balears, Illes;2023M01;6,4
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M09;6,4
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M08;6,7
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M07;6,8
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M06;6,6
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M05;6,7
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M04;7,0
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M03;6,8
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M02;6,8
Total;Europa;Polonia;Duración media de los viajes;Canarias;2023M01;6,9
Total;Europa;Portugal;Turistas;Balears, Illes;2023M09;30.795
Total;Europa;Portugal;Turistas;Balears, Illes;2023M08;32.228
Total;Europa;Portugal;Turistas;Balears, Illes;2023M07;26.479
Total;Europa;Portugal;Turistas;Balears, Illes;2023M06;19.270
Total;Europa;Portugal;Turistas;Balears, Illes;2023M05;10.493
Total;Europa;Portugal;Turistas;Balears, Illes;2023M04;7.369
Total;Europa;Portugal;Turistas;Balears, Illes;2023M03;1.267
Total;Europa;Portugal;Turistas;Balears, Illes;2023M02;591
Total;Europa;Portugal;Turistas;Balears, Illes;2023M01;592
Total;Europa;Portugal;Turistas;Canarias;2023M09;7.542
Total;Europa;Portugal;Turistas;Canarias;2023M08;9.573
Total;Europa;Portugal;Turistas;Canarias;2023M07;7.206
Total;Europa;Portugal;Turistas;Canarias;2023M06;5.131
Total;Europa;Portugal;Turistas;Canarias;2023M05;3.859
Total;Europa;Portugal;Turistas;Canarias;2023M04;3.811
Total;Europa;Portugal;Turistas;Canarias;2023M03;3.604
Total;Europa;Portugal;Turistas;Canarias;2023M02;3.309
Total;Europa;Portugal;Turistas;Canarias;2023M01;2.217
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M09;175.532
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M08;209.482
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M07;158.874
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M06;102.131
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M05;49.317
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M04;37.582
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M03;7.475
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M02;4.019
Total;Europa;Portugal;Pernoctaciones;Balears, Illes;2023M01;4.026
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M09;50.398
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M08;61.477
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M07;49.319
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M06;31.821
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M05;23.540
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M04;22.364
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M03;21.663
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M02;19.491
Total;Europa;Portugal;Pernoctaciones;Canarias;2023M01;14.747
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M09;5,7
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M08;6,5
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M07;6,0
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M06;5,3
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M05;4,7
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M04;5,1
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M03;5,9
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M02;6,8
Total;Europa;Portugal;Duración media de los viajes;Balears, Illes;2023M01;6,8
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M09;6,7
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M08;6,4
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M07;6,8
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M06;6,2
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M05;6,1
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M04;5,9
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M03;6,0
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M02;5,9
Total;Europa;Portugal;Duración media de los viajes;Canarias;2023M01;6,7
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M09;587.434
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M08;656.798
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M07;677.798
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M06;608.485
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M05;516.223
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M04;240.699
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M03;72.494
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M02;24.661
Total;Europa;Reino Unido;Turistas;Balears, Illes;2023M01;14.866
Total;Europa;Reino Unido;Turistas;Canarias;2023M09;448.749
Total;Europa;Reino Unido;Turistas;Canarias;2023M08;477.504
Total;Europa;Reino Unido;Turistas;Canarias;2023M07;478.446
Total;Europa;Reino Unido;Turistas;Canarias;2023M06;454.850
Total;Europa;Reino Unido;Turistas;Canarias;2023M05;442.172
Total;Europa;Reino Unido;Turistas;Canarias;2023M04;444.044
Total;Europa;Reino Unido;Turistas;Canarias;2023M03;481.528
Total;Europa;Reino Unido;Turistas;Canarias;2023M02;424.595
Total;Europa;Reino Unido;Turistas;Canarias;2023M01;387.948
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M09;3.759.578
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M08;4.663.266
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M07;4.405.687
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M06;3.650.910
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M05;2.890.849
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M04;1.275.705
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M03;427.715
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M02;157.830
Total;Europa;Reino Unido;Pernoctaciones;Balears, Illes;2023M01;115.955
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M09;3.460.241
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M08;3.969.135
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M07;3.689.027
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M06;3.138.465
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M05;3.031.040
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M04;3.083.687
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M03;3.365.542
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M02;3.047.821
Total;Europa;Reino Unido;Pernoctaciones;Canarias;2023M01;2.983.283
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M09;6,4
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M08;7,1
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M07;6,5
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M06;6,0
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M05;5,6
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M04;5,3
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M03;5,9
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M02;6,4
Total;Europa;Reino Unido;Duración media de los viajes;Balears, Illes;2023M01;7,8
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M09;7,7
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M08;8,3
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M07;7,7
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M06;6,9
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M05;6,9
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M04;6,9
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M03;7,0
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M02;7,2
Total;Europa;Reino Unido;Duración media de los viajes;Canarias;2023M01;7,7
Total;Europa;República Checa;Turistas;Balears, Illes;2023M09;15.869
Total;Europa;República Checa;Turistas;Balears, Illes;2023M08;15.155
Total;Europa;República Checa;Turistas;Balears, Illes;2023M07;23.608
Total;Europa;República Checa;Turistas;Balears, Illes;2023M06;11.802
Total;Europa;República Checa;Turistas;Balears, Illes;2023M05;8.352
Total;Europa;República Checa;Turistas;Balears, Illes;2023M04;8.454
Total;Europa;República Checa;Turistas;Balears, Illes;2023M03;2.347
Total;Europa;República Checa;Turistas;Balears, Illes;2023M02;822
Total;Europa;República Checa;Turistas;Balears, Illes;2023M01;739
Total;Europa;República Checa;Turistas;Canarias;2023M09;8.720
Total;Europa;República Checa;Turistas;Canarias;2023M08;9.395
Total;Europa;República Checa;Turistas;Canarias;2023M07;12.905
Total;Europa;República Checa;Turistas;Canarias;2023M06;7.324
Total;Europa;República Checa;Turistas;Canarias;2023M05;8.128
Total;Europa;República Checa;Turistas;Canarias;2023M04;7.836
Total;Europa;República Checa;Turistas;Canarias;2023M03;10.827
Total;Europa;República Checa;Turistas;Canarias;2023M02;9.080
Total;Europa;República Checa;Turistas;Canarias;2023M01;7.026
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M09;96.801
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M08;95.477
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M07;151.091
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M06;74.353
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M05;45.936
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M04;47.342
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M03;14.551
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M02;5.343
Total;Europa;República Checa;Pernoctaciones;Balears, Illes;2023M01;4.877
