RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;;Balears, Illes;Turistas;2022M12;127.774
Total;Europa;;Balears, Illes;Turistas;2022M11;214.435
Total;Europa;;Balears, Illes;Turistas;2022M10;1.276.997
Total;Europa;;Balears, Illes;Turistas;2022M09;1.805.601
Total;Europa;;Balears, Illes;Turistas;2022M08;1.930.605
Total;Europa;;Balears, Illes;Turistas;2022M07;2.111.257
Total;Europa;;Balears, Illes;Turistas;2022M06;1.858.836
Total;Europa;;Balears, Illes;Turistas;2022M05;1.555.254
Total;Europa;;Balears, Illes;Turistas;2022M04;1.034.006
Total;Europa;;Balears, Illes;Turistas;2022M03;276.893
Total;Europa;;Balears, Illes;Turistas;2022M02;137.888
Total;Europa;;Balears, Illes;Turistas;2022M01;107.219
Total;Europa;;Balears, Illes;Pernoctaciones;2022M12;979.022
Total;Europa;;Balears, Illes;Pernoctaciones;2022M11;1.598.915
Total;Europa;;Balears, Illes;Pernoctaciones;2022M10;8.206.389
Total;Europa;;Balears, Illes;Pernoctaciones;2022M09;11.831.921
Total;Europa;;Balears, Illes;Pernoctaciones;2022M08;14.273.920
Total;Europa;;Balears, Illes;Pernoctaciones;2022M07;14.306.341
Total;Europa;;Balears, Illes;Pernoctaciones;2022M06;11.846.888
Total;Europa;;Balears, Illes;Pernoctaciones;2022M05;9.152.100
Total;Europa;;Balears, Illes;Pernoctaciones;2022M04;6.367.938
Total;Europa;;Balears, Illes;Pernoctaciones;2022M03;2.022.110
Total;Europa;;Balears, Illes;Pernoctaciones;2022M02;1.075.103
Total;Europa;;Balears, Illes;Pernoctaciones;2022M01;926.110
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M12;7,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M11;7,5
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M10;6,4
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M09;6,6
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M08;7,4
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M07;6,8
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M06;6,4
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M05;5,9
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M04;6,2
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M03;7,3
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M02;7,8
Total;Europa;;Balears, Illes;Duración media de los viajes;2022M01;8,6
Total;Europa;;Canarias;Turistas;2022M12;1.196.519
Total;Europa;;Canarias;Turistas;2022M11;1.088.627
Total;Europa;;Canarias;Turistas;2022M10;1.110.565
Total;Europa;;Canarias;Turistas;2022M09;921.732
Total;Europa;;Canarias;Turistas;2022M08;964.697
Total;Europa;;Canarias;Turistas;2022M07;1.000.102
Total;Europa;;Canarias;Turistas;2022M06;862.072
Total;Europa;;Canarias;Turistas;2022M05;851.073
Total;Europa;;Canarias;Turistas;2022M04;1.080.370
Total;Europa;;Canarias;Turistas;2022M03;1.094.562
Total;Europa;;Canarias;Turistas;2022M02;932.761
Total;Europa;;Canarias;Turistas;2022M01;719.842
Total;Europa;;Canarias;Pernoctaciones;2022M12;9.770.784
Total;Europa;;Canarias;Pernoctaciones;2022M11;8.157.215
Total;Europa;;Canarias;Pernoctaciones;2022M10;8.681.219
Total;Europa;;Canarias;Pernoctaciones;2022M09;7.434.782
Total;Europa;;Canarias;Pernoctaciones;2022M08;8.414.533
Total;Europa;;Canarias;Pernoctaciones;2022M07;8.263.935
Total;Europa;;Canarias;Pernoctaciones;2022M06;6.800.696
Total;Europa;;Canarias;Pernoctaciones;2022M05;6.742.062
Total;Europa;;Canarias;Pernoctaciones;2022M04;8.305.490
Total;Europa;;Canarias;Pernoctaciones;2022M03;8.732.542
Total;Europa;;Canarias;Pernoctaciones;2022M02;7.658.830
Total;Europa;;Canarias;Pernoctaciones;2022M01;6.250.487
Total;Europa;;Canarias;Duración media de los viajes;2022M12;8,2
Total;Europa;;Canarias;Duración media de los viajes;2022M11;7,5
Total;Europa;;Canarias;Duración media de los viajes;2022M10;7,8
Total;Europa;;Canarias;Duración media de los viajes;2022M09;8,1
Total;Europa;;Canarias;Duración media de los viajes;2022M08;8,7
Total;Europa;;Canarias;Duración media de los viajes;2022M07;8,3
Total;Europa;;Canarias;Duración media de los viajes;2022M06;7,9
Total;Europa;;Canarias;Duración media de los viajes;2022M05;7,9
Total;Europa;;Canarias;Duración media de los viajes;2022M04;7,7
Total;Europa;;Canarias;Duración media de los viajes;2022M03;8,0
Total;Europa;;Canarias;Duración media de los viajes;2022M02;8,2
Total;Europa;;Canarias;Duración media de los viajes;2022M01;8,7
Total;Europa;Albania;Balears, Illes;Turistas;2022M12;.
Total;Europa;Albania;Balears, Illes;Turistas;2022M11;37
Total;Europa;Albania;Balears, Illes;Turistas;2022M10;59
Total;Europa;Albania;Balears, Illes;Turistas;2022M09;174
Total;Europa;Albania;Balears, Illes;Turistas;2022M08;222
Total;Europa;Albania;Balears, Illes;Turistas;2022M07;267
Total;Europa;Albania;Balears, Illes;Turistas;2022M06;131
Total;Europa;Albania;Balears, Illes;Turistas;2022M05;79
Total;Europa;Albania;Balears, Illes;Turistas;2022M04;.
Total;Europa;Albania;Balears, Illes;Turistas;2022M03;.
Total;Europa;Albania;Balears, Illes;Turistas;2022M02;.
Total;Europa;Albania;Balears, Illes;Turistas;2022M01;.
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M12;.
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M11;159
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M10;295
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M09;783
