RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M08;1.243
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M07;1.282
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M06;524
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M05;395
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M04;.
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M03;.
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M02;.
Total;Europa;Albania;Balears, Illes;Pernoctaciones;2022M01;.
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M12;.
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M11;4,3
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M10;5,0
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M09;4,5
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M08;5,6
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M07;4,8
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M06;4,0
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M05;5,0
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M04;.
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M03;.
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M02;.
Total;Europa;Albania;Balears, Illes;Duración media de los viajes;2022M01;.
Total;Europa;Albania;Canarias;Turistas;2022M12;32
Total;Europa;Albania;Canarias;Turistas;2022M11;.
Total;Europa;Albania;Canarias;Turistas;2022M10;39
Total;Europa;Albania;Canarias;Turistas;2022M09;36
Total;Europa;Albania;Canarias;Turistas;2022M08;.
Total;Europa;Albania;Canarias;Turistas;2022M07;34
Total;Europa;Albania;Canarias;Turistas;2022M06;.
Total;Europa;Albania;Canarias;Turistas;2022M05;.
Total;Europa;Albania;Canarias;Turistas;2022M04;.
Total;Europa;Albania;Canarias;Turistas;2022M03;45
Total;Europa;Albania;Canarias;Turistas;2022M02;.
Total;Europa;Albania;Canarias;Turistas;2022M01;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M12;201
Total;Europa;Albania;Canarias;Pernoctaciones;2022M11;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M10;208
Total;Europa;Albania;Canarias;Pernoctaciones;2022M09;183
Total;Europa;Albania;Canarias;Pernoctaciones;2022M08;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M07;226
Total;Europa;Albania;Canarias;Pernoctaciones;2022M06;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M05;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M04;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M03;374
Total;Europa;Albania;Canarias;Pernoctaciones;2022M02;.
Total;Europa;Albania;Canarias;Pernoctaciones;2022M01;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M12;6,3
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M11;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M10;5,3
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M09;5,1
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M08;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M07;6,6
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M06;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M05;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M04;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M03;8,3
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M02;.
Total;Europa;Albania;Canarias;Duración media de los viajes;2022M01;.
Total;Europa;Alemania;Balears, Illes;Turistas;2022M12;57.184
Total;Europa;Alemania;Balears, Illes;Turistas;2022M11;89.061
Total;Europa;Alemania;Balears, Illes;Turistas;2022M10;475.882
Total;Europa;Alemania;Balears, Illes;Turistas;2022M09;608.035
Total;Europa;Alemania;Balears, Illes;Turistas;2022M08;542.146
Total;Europa;Alemania;Balears, Illes;Turistas;2022M07;583.367
Total;Europa;Alemania;Balears, Illes;Turistas;2022M06;651.469
Total;Europa;Alemania;Balears, Illes;Turistas;2022M05;525.881
Total;Europa;Alemania;Balears, Illes;Turistas;2022M04;441.343
Total;Europa;Alemania;Balears, Illes;Turistas;2022M03;168.554
Total;Europa;Alemania;Balears, Illes;Turistas;2022M02;76.493
Total;Europa;Alemania;Balears, Illes;Turistas;2022M01;51.637
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M12;457.472
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M11;730.300
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M10;3.521.527
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M09;4.560.263
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M08;4.337.168
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M07;4.550.263
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M06;4.625.430
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M05;3.418.227
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M04;3.001.132
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M03;1.247.300
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M02;573.698
Total;Europa;Alemania;Balears, Illes;Pernoctaciones;2022M01;433.751
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M12;8,0
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M11;8,2
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M10;7,4
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M09;7,5
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M08;8,0
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M07;7,8
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M06;7,1
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M05;6,5
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M04;6,8
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M03;7,4
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M02;7,5
Total;Europa;Alemania;Balears, Illes;Duración media de los viajes;2022M01;8,4
Total;Europa;Alemania;Canarias;Turistas;2022M12;260.873
Total;Europa;Alemania;Canarias;Turistas;2022M11;227.630
Total;Europa;Alemania;Canarias;Turistas;2022M10;212.669
Total;Europa;Alemania;Canarias;Turistas;2022M09;163.351
Total;Europa;Alemania;Canarias;Turistas;2022M08;158.319
Total;Europa;Alemania;Canarias;Turistas;2022M07;168.673
Total;Europa;Alemania;Canarias;Turistas;2022M06;156.405
Total;Europa;Alemania;Canarias;Turistas;2022M05;147.993
Total;Europa;Alemania;Canarias;Turistas;2022M04;236.866
Total;Europa;Alemania;Canarias;Turistas;2022M03;219.227
Total;Europa;Alemania;Canarias;Turistas;2022M02;161.517
Total;Europa;Alemania;Canarias;Turistas;2022M01;148.339
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M12;2.700.458
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M11;2.003.144
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M10;2.067.686
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M09;1.670.899
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M08;1.661.780
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M07;1.777.917
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M06;1.528.124
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M05;1.527.299
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M04;2.133.088
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M03;2.164.896
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M02;1.613.940
Total;Europa;Alemania;Canarias;Pernoctaciones;2022M01;1.464.271
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M12;10,4
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M11;8,8
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M10;9,7
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M09;10,2
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M08;10,5
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M07;10,5
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M06;9,8
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M05;10,3
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M04;9,0
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M03;9,9
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M02;10,0
Total;Europa;Alemania;Canarias;Duración media de los viajes;2022M01;9,9
Total;Europa;Andorra;Balears, Illes;Turistas;2022M12;95
Total;Europa;Andorra;Balears, Illes;Turistas;2022M11;199
Total;Europa;Andorra;Balears, Illes;Turistas;2022M10;340
Total;Europa;Andorra;Balears, Illes;Turistas;2022M09;990
Total;Europa;Andorra;Balears, Illes;Turistas;2022M08;1.069
Total;Europa;Andorra;Balears, Illes;Turistas;2022M07;1.304
Total;Europa;Andorra;Balears, Illes;Turistas;2022M06;860
Total;Europa;Andorra;Balears, Illes;Turistas;2022M05;656
Total;Europa;Andorra;Balears, Illes;Turistas;2022M04;384
Total;Europa;Andorra;Balears, Illes;Turistas;2022M03;164
Total;Europa;Andorra;Balears, Illes;Turistas;2022M02;65
Total;Europa;Andorra;Balears, Illes;Turistas;2022M01;83
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M12;751
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M11;1.751
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M10;3.162
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M09;9.504
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M08;9.835
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M07;10.823
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M06;7.310
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M05;4.920
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M04;2.342
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M03;1.099
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M02;579
Total;Europa;Andorra;Balears, Illes;Pernoctaciones;2022M01;764
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M12;7,9
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M11;8,8
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M10;9,3
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M09;9,6
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M08;9,2
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M07;8,3
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M06;8,5
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M05;7,5
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M04;6,1
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M03;6,7
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M02;8,9
Total;Europa;Andorra;Balears, Illes;Duración media de los viajes;2022M01;9,2
Total;Europa;Andorra;Canarias;Turistas;2022M12;125
Total;Europa;Andorra;Canarias;Turistas;2022M11;258
Total;Europa;Andorra;Canarias;Turistas;2022M10;228
Total;Europa;Andorra;Canarias;Turistas;2022M09;234
Total;Europa;Andorra;Canarias;Turistas;2022M08;142
Total;Europa;Andorra;Canarias;Turistas;2022M07;182
Total;Europa;Andorra;Canarias;Turistas;2022M06;227
Total;Europa;Andorra;Canarias;Turistas;2022M05;230
Total;Europa;Andorra;Canarias;Turistas;2022M04;225
Total;Europa;Andorra;Canarias;Turistas;2022M03;178
Total;Europa;Andorra;Canarias;Turistas;2022M02;52
Total;Europa;Andorra;Canarias;Turistas;2022M01;76
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M12;1.111
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M11;1.881
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M10;2.135
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M09;2.149
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M08;1.267
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M07;1.503
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M06;2.028
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M05;2.086
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M04;1.686
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M03;1.259
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M02;493
Total;Europa;Andorra;Canarias;Pernoctaciones;2022M01;697
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M12;8,9
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M11;7,3
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M10;9,4
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M09;9,2
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M08;8,9
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M07;8,3
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M06;8,9
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M05;9,1
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M04;7,5
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M03;7,1
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M02;9,5
Total;Europa;Andorra;Canarias;Duración media de los viajes;2022M01;9,2
Total;Europa;Armenia;Balears, Illes;Turistas;2022M12;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M11;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M10;96
Total;Europa;Armenia;Balears, Illes;Turistas;2022M09;85
Total;Europa;Armenia;Balears, Illes;Turistas;2022M08;85
Total;Europa;Armenia;Balears, Illes;Turistas;2022M07;155
Total;Europa;Armenia;Balears, Illes;Turistas;2022M06;52
Total;Europa;Armenia;Balears, Illes;Turistas;2022M05;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M04;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M03;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M02;.
Total;Europa;Armenia;Balears, Illes;Turistas;2022M01;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M12;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M11;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M10;240
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M09;383
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M08;570
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M07;682
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M06;208
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M05;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M04;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M03;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M02;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2022M01;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M12;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M11;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M10;2,5
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M09;4,5
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M08;6,7
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M07;4,4
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M06;4,0
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M05;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M04;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M03;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M02;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2022M01;.
Total;Europa;Armenia;Canarias;Turistas;2022M12;.
Total;Europa;Armenia;Canarias;Turistas;2022M11;.
Total;Europa;Armenia;Canarias;Turistas;2022M10;34
Total;Europa;Armenia;Canarias;Turistas;2022M09;.
Total;Europa;Armenia;Canarias;Turistas;2022M08;.
Total;Europa;Armenia;Canarias;Turistas;2022M07;.
Total;Europa;Armenia;Canarias;Turistas;2022M06;.
Total;Europa;Armenia;Canarias;Turistas;2022M05;.
Total;Europa;Armenia;Canarias;Turistas;2022M04;.
Total;Europa;Armenia;Canarias;Turistas;2022M03;.
Total;Europa;Armenia;Canarias;Turistas;2022M02;.
Total;Europa;Armenia;Canarias;Turistas;2022M01;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M12;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M11;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M10;260
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M09;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M08;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M07;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M06;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M05;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M04;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M03;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M02;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2022M01;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M12;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M11;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M10;7,6
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M09;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M08;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M07;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M06;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M05;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M04;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M03;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M02;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2022M01;.
Total;Europa;Austria;Balears, Illes;Turistas;2022M12;3.042
Total;Europa;Austria;Balears, Illes;Turistas;2022M11;5.199
Total;Europa;Austria;Balears, Illes;Turistas;2022M10;17.589
Total;Europa;Austria;Balears, Illes;Turistas;2022M09;27.922
Total;Europa;Austria;Balears, Illes;Turistas;2022M08;35.265
Total;Europa;Austria;Balears, Illes;Turistas;2022M07;41.983
Total;Europa;Austria;Balears, Illes;Turistas;2022M06;31.435
Total;Europa;Austria;Balears, Illes;Turistas;2022M05;24.472
Total;Europa;Austria;Balears, Illes;Turistas;2022M04;20.039
Total;Europa;Austria;Balears, Illes;Turistas;2022M03;7.315
Total;Europa;Austria;Balears, Illes;Turistas;2022M02;7.527
Total;Europa;Austria;Balears, Illes;Turistas;2022M01;5.047
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M12;24.640
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M11;41.072
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M10;103.775
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M09;164.740
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M08;218.643
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M07;243.501
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M06;179.180
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M05;141.938
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M04;110.215
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M03;50.474
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M02;66.990
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2022M01;41.385
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M12;8,1
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M11;7,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M10;5,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M09;5,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M08;6,2
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M07;5,8
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M06;5,7
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M05;5,8
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M04;5,5
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M03;6,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M02;8,9
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2022M01;8,2
Total;Europa;Austria;Canarias;Turistas;2022M12;7.539
Total;Europa;Austria;Canarias;Turistas;2022M11;8.788
Total;Europa;Austria;Canarias;Turistas;2022M10;8.612
Total;Europa;Austria;Canarias;Turistas;2022M09;7.294
Total;Europa;Austria;Canarias;Turistas;2022M08;9.698
Total;Europa;Austria;Canarias;Turistas;2022M07;10.071
Total;Europa;Austria;Canarias;Turistas;2022M06;6.594
Total;Europa;Austria;Canarias;Turistas;2022M05;6.375
Total;Europa;Austria;Canarias;Turistas;2022M04;10.725
Total;Europa;Austria;Canarias;Turistas;2022M03;13.328
Total;Europa;Austria;Canarias;Turistas;2022M02;14.481
Total;Europa;Austria;Canarias;Turistas;2022M01;13.231
