Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Finlandia;2023T2;48.167.203,06
Andalucía;Finlandia;2023T1;45.694.914,24
Andalucía;Finlandia;2022T4;53.551.573,08
Andalucía;Finlandia;2022T3;32.029.387,31
Andalucía;Finlandia;2022T2;36.715.310,78
Andalucía;Finlandia;2022T1;29.942.060,4
Andalucía;Finlandia;2021T4;35.566.292,18
Andalucía;Finlandia;2021T3;13.972.238,87
Andalucía;Finlandia;2021T2;5.862.809,23
Andalucía;Finlandia;2021T1;2.190.095,9
Andalucía;Finlandia;2020T4;3.357.155,56
Andalucía;Finlandia;2020T3;4.979.374,45
Andalucía;Finlandia;2020T2;.
Andalucía;Finlandia;2020T1;33.794.548,85
Andalucía;Finlandia;2019T4;50.560.087,66
Andalucía;Finlandia;2019T3;34.126.206,55
Andalucía;Finlandia;2019T2;39.941.590,31
Andalucía;Finlandia;2019T1;48.993.224,06
Andalucía;Finlandia;2018T4;48.739.641,48
Andalucía;Finlandia;2018T3;33.308.516,28
Andalucía;Finlandia;2018T2;42.111.890,42
Andalucía;Finlandia;2018T1;43.296.657,39
Andalucía;Francia;2023T2;189.847.114,91
Andalucía;Francia;2023T1;113.346.477,48
Andalucía;Francia;2022T4;126.824.302,97
Andalucía;Francia;2022T3;257.790.230,27
Andalucía;Francia;2022T2;155.579.887,52
Andalucía;Francia;2022T1;86.338.889,66
Andalucía;Francia;2021T4;98.383.887,99
Andalucía;Francia;2021T3;158.959.741,87
Andalucía;Francia;2021T2;40.353.407,97
Andalucía;Francia;2021T1;8.670.780,88
Andalucía;Francia;2020T4;18.866.138,67
Andalucía;Francia;2020T3;71.300.878,36
Andalucía;Francia;2020T2;.
Andalucía;Francia;2020T1;84.892.026,18
Andalucía;Francia;2019T4;119.358.489,6
Andalucía;Francia;2019T3;269.225.623,57
Andalucía;Francia;2019T2;168.430.642,46
Andalucía;Francia;2019T1;119.006.618,49
Andalucía;Francia;2018T4;116.440.729,99
Andalucía;Francia;2018T3;268.772.662,03
Andalucía;Francia;2018T2;173.429.756,54
Andalucía;Francia;2018T1;104.891.045,6
Andalucía;Irlanda;2023T2;121.932.182,28
Andalucía;Irlanda;2023T1;52.270.008,8
Andalucía;Irlanda;2022T4;66.179.448,68
Andalucía;Irlanda;2022T3;124.586.162,38
Andalucía;Irlanda;2022T2;97.827.368,96
Andalucía;Irlanda;2022T1;37.490.127,13
Andalucía;Irlanda;2021T4;48.634.030,12
Andalucía;Irlanda;2021T3;60.648.969,74
Andalucía;Irlanda;2021T2;9.955.089,06
Andalucía;Irlanda;2021T1;3.154.787,92
Andalucía;Irlanda;2020T4;5.862.644,77
Andalucía;Irlanda;2020T3;12.692.107,79
Andalucía;Irlanda;2020T2;.
Andalucía;Irlanda;2020T1;29.887.528,51
Andalucía;Irlanda;2019T4;48.837.053,7
Andalucía;Irlanda;2019T3;105.393.949,67
Andalucía;Irlanda;2019T2;81.004.361,68
Andalucía;Irlanda;2019T1;40.618.595,34
Andalucía;Irlanda;2018T4;45.688.183,37
Andalucía;Irlanda;2018T3;99.522.353,35
Andalucía;Irlanda;2018T2;79.018.099,19
Andalucía;Irlanda;2018T1;37.916.189,99
Andalucía;Italia;2023T2;67.901.940,72
Andalucía;Italia;2023T1;43.217.244,29
Andalucía;Italia;2022T4;45.575.845,74
Andalucía;Italia;2022T3;71.063.185,91
Andalucía;Italia;2022T2;46.899.040,02
Andalucía;Italia;2022T1;27.114.540,97
Andalucía;Italia;2021T4;28.987.328,64
Andalucía;Italia;2021T3;29.632.897,67
Andalucía;Italia;2021T2;7.707.036,09
Andalucía;Italia;2021T1;2.199.560,15
Andalucía;Italia;2020T4;3.711.138,31
Andalucía;Italia;2020T3;11.620.640,76
Andalucía;Italia;2020T2;.
Andalucía;Italia;2020T1;30.085.675,88
Andalucía;Italia;2019T4;43.842.845,25
Andalucía;Italia;2019T3;76.407.431,93
Andalucía;Italia;2019T2;55.309.406,22
Andalucía;Italia;2019T1;44.741.812,6
Andalucía;Italia;2018T4;44.666.979,17
Andalucía;Italia;2018T3;78.041.823,34
Andalucía;Italia;2018T2;52.352.562,89
Andalucía;Italia;2018T1;39.401.476,97
Andalucía;Noruega;2023T2;62.699.022,03
Andalucía;Noruega;2023T1;39.668.140,31
Andalucía;Noruega;2022T4;53.513.380,42
Andalucía;Noruega;2022T3;92.542.097,75
Andalucía;Noruega;2022T2;65.383.375,33
Andalucía;Noruega;2022T1;30.700.322,03
Andalucía;Noruega;2021T4;38.974.518,3
Andalucía;Noruega;2021T3;27.055.811,42
Andalucía;Noruega;2021T2;4.203.444,89
Andalucía;Noruega;2021T1;1.122.095,75
Andalucía;Noruega;2020T4;2.260.079,4
Andalucía;Noruega;2020T3;6.395.630,48
Andalucía;Noruega;2020T2;.
Andalucía;Noruega;2020T1;28.566.131,32
Andalucía;Noruega;2019T4;48.497.956,3
Andalucía;Noruega;2019T3;89.615.435,5
Andalucía;Noruega;2019T2;63.028.181
Andalucía;Noruega;2019T1;45.550.097,46
Andalucía;Noruega;2018T4;49.598.869,05
Andalucía;Noruega;2018T3;96.856.331,37
Andalucía;Noruega;2018T2;64.984.857,27
Andalucía;Noruega;2018T1;47.001.400,52
Andalucía;Países Bajos;2023T2;155.471.333,42
Andalucía;Países Bajos;2023T1;100.115.663,14
Andalucía;Países Bajos;2022T4;103.453.332,72
Andalucía;Países Bajos;2022T3;158.402.477,63
Andalucía;Países Bajos;2022T2;130.332.069,41
Andalucía;Países Bajos;2022T1;78.882.721,55
Andalucía;Países Bajos;2021T4;86.704.111,72
Andalucía;Países Bajos;2021T3;103.800.341,81
Andalucía;Países Bajos;2021T2;24.607.050,95
Andalucía;Países Bajos;2021T1;4.996.534,08
Andalucía;Países Bajos;2020T4;8.879.694,12
Andalucía;Países Bajos;2020T3;40.511.663,12
Andalucía;Países Bajos;2020T2;.
Andalucía;Países Bajos;2020T1;56.171.118,71
Andalucía;Países Bajos;2019T4;81.820.789,46
Andalucía;Países Bajos;2019T3;134.794.717,93
Andalucía;Países Bajos;2019T2;111.524.998,61
Andalucía;Países Bajos;2019T1;78.573.298,62
Andalucía;Países Bajos;2018T4;81.663.147,47
Andalucía;Países Bajos;2018T3;138.635.602,55
Andalucía;Países Bajos;2018T2;116.521.862,67
Andalucía;Países Bajos;2018T1;73.187.978,2
Andalucía;Polonia;2023T2;32.420.788,44
Andalucía;Polonia;2023T1;22.687.150,51
Andalucía;Polonia;2022T4;19.976.581,76
Andalucía;Polonia;2022T3;22.705.769,41
Andalucía;Polonia;2022T2;19.638.023,1
Andalucía;Polonia;2022T1;11.108.567,24
Andalucía;Polonia;2021T4;10.946.394,36
Andalucía;Polonia;2021T3;13.760.712,38
Andalucía;Polonia;2021T2;5.073.049,91
Andalucía;Polonia;2021T1;1.190.461,73
Andalucía;Polonia;2020T4;1.738.317,37
Andalucía;Polonia;2020T3;3.907.156,12
Andalucía;Polonia;2020T2;.
Andalucía;Polonia;2020T1;7.882.232,29
Andalucía;Polonia;2019T4;10.133.963
Andalucía;Polonia;2019T3;16.744.307,45
Andalucía;Polonia;2019T2;12.916.662,55
Andalucía;Polonia;2019T1;10.638.005,27
Andalucía;Polonia;2018T4;9.191.446,03
Andalucía;Polonia;2018T3;15.805.739,03
Andalucía;Polonia;2018T2;11.650.946,68
Andalucía;Polonia;2018T1;8.980.014,59
Andalucía;Portugal;2023T2;68.652.124
Andalucía;Portugal;2023T1;41.472.768,36
Andalucía;Portugal;2022T4;45.518.665,52
Andalucía;Portugal;2022T3;114.308.389,81
Andalucía;Portugal;2022T2;57.645.535,72
Andalucía;Portugal;2022T1;30.922.712,16
Andalucía;Portugal;2021T4;33.155.492,3
Andalucía;Portugal;2021T3;58.930.456,72
Andalucía;Portugal;2021T2;13.138.955,38
Andalucía;Portugal;2021T1;2.235.106,32
Andalucía;Portugal;2020T4;5.797.632,52
Andalucía;Portugal;2020T3;22.755.137,3
Andalucía;Portugal;2020T2;.
Andalucía;Portugal;2020T1;27.863.572,08
Andalucía;Portugal;2019T4;35.011.212,09
Andalucía;Portugal;2019T3;99.030.490,29
Andalucía;Portugal;2019T2;50.303.307,36
Andalucía;Portugal;2019T1;37.080.901,05
Andalucía;Portugal;2018T4;34.536.830,1
Andalucía;Portugal;2018T3;88.609.167,68
Andalucía;Portugal;2018T2;44.084.810,08
Andalucía;Portugal;2018T1;30.543.274,14
Andalucía;Reino Unido;2023T2;518.485.818,38
Andalucía;Reino Unido;2023T1;262.874.785,31
Andalucía;Reino Unido;2022T4;313.572.507,07
Andalucía;Reino Unido;2022T3;568.779.345,65
Andalucía;Reino Unido;2022T2;443.807.352,82
Andalucía;Reino Unido;2022T1;197.960.697,92
Andalucía;Reino Unido;2021T4;240.014.277,93
Andalucía;Reino Unido;2021T3;281.958.558,68
Andalucía;Reino Unido;2021T2;67.704.081,89
Andalucía;Reino Unido;2021T1;23.606.928,55
Andalucía;Reino Unido;2020T4;55.813.060,26
Andalucía;Reino Unido;2020T3;155.409.290,55
Andalucía;Reino Unido;2020T2;.
Andalucía;Reino Unido;2020T1;233.372.346,87
Andalucía;Reino Unido;2019T4;338.478.220,67
Andalucía;Reino Unido;2019T3;598.163.703,8
Andalucía;Reino Unido;2019T2;463.688.931,92
Andalucía;Reino Unido;2019T1;344.222.882,26
Andalucía;Reino Unido;2018T4;357.268.949,46
Andalucía;Reino Unido;2018T3;619.337.717,18
Andalucía;Reino Unido;2018T2;493.655.878,16
Andalucía;Reino Unido;2018T1;320.110.296,55
Andalucía;Rumanía;2023T2;15.188.021,47
Andalucía;Rumanía;2023T1;10.062.246,06
Andalucía;Rumanía;2022T4;10.430.884,93
Andalucía;Rumanía;2022T3;14.410.333,71
Andalucía;Rumanía;2022T2;12.871.930,54
Andalucía;Rumanía;2022T1;6.789.239,68
Andalucía;Rumanía;2021T4;6.809.153,18
Andalucía;Rumanía;2021T3;6.751.755,71
Andalucía;Rumanía;2021T2;3.176.550,17
Andalucía;Rumanía;2021T1;879.955,2
Andalucía;Rumanía;2020T4;1.542.231,69
Andalucía;Rumanía;2020T3;3.241.650,88
Andalucía;Rumanía;2020T2;.
Andalucía;Rumanía;2020T1;5.584.497,33
Andalucía;Rumanía;2019T4;7.084.063,49
Andalucía;Rumanía;2019T3;9.588.785,81
Andalucía;Rumanía;2019T2;10.158.389,26
Andalucía;Rumanía;2019T1;6.518.383,52
Andalucía;Rumanía;2018T4;5.397.699,41
Andalucía;Rumanía;2018T3;8.489.160,13
Andalucía;Rumanía;2018T2;8.640.392,31
Andalucía;Rumanía;2018T1;5.085.219,25
Andalucía;Rusia;2023T2;.
Andalucía;Rusia;2023T1;.
Andalucía;Rusia;2022T4;.
Andalucía;Rusia;2022T3;.
Andalucía;Rusia;2022T2;.
Andalucía;Rusia;2022T1;27.840.577,35
Andalucía;Rusia;2021T4;22.645.989,82
Andalucía;Rusia;2021T3;19.795.801,52
Andalucía;Rusia;2021T2;9.131.195,88
Andalucía;Rusia;2021T1;4.089.821,91
Andalucía;Rusia;2020T4;6.534.222,31
Andalucía;Rusia;2020T3;12.624.801,28
Andalucía;Rusia;2020T2;.
Andalucía;Rusia;2020T1;37.183.621,35
Andalucía;Rusia;2019T4;40.568.503,29
Andalucía;Rusia;2019T3;69.133.958,36
Andalucía;Rusia;2019T2;49.127.660,49
Andalucía;Rusia;2019T1;46.776.832,33
Andalucía;Rusia;2018T4;35.705.812,28
Andalucía;Rusia;2018T3;69.997.494,53
Andalucía;Rusia;2018T2;47.739.209,66
Andalucía;Rusia;2018T1;45.135.722,47
Andalucía;Suecia;2023T2;92.716.599,76
Andalucía;Suecia;2023T1;70.467.818,22
Andalucía;Suecia;2022T4;82.506.705,31
Andalucía;Suecia;2022T3;102.744.997,06
Andalucía;Suecia;2022T2;86.823.358,5
Andalucía;Suecia;2022T1;55.922.705,67
Andalucía;Suecia;2021T4;68.374.532,55
Andalucía;Suecia;2021T3;66.962.348,32
Andalucía;Suecia;2021T2;18.237.825,95
Andalucía;Suecia;2021T1;4.540.423,31
Andalucía;Suecia;2020T4;9.783.036,9
Andalucía;Suecia;2020T3;21.678.610,95
Andalucía;Suecia;2020T2;.
Andalucía;Suecia;2020T1;52.890.676,12
Andalucía;Suecia;2019T4;76.463.189,18
Andalucía;Suecia;2019T3;95.530.739,58
Andalucía;Suecia;2019T2;81.354.760,54
Andalucía;Suecia;2019T1;76.579.784,37
Andalucía;Suecia;2018T4;76.342.535,65
Andalucía;Suecia;2018T3;100.259.224,08
Andalucía;Suecia;2018T2;86.515.529,5
Andalucía;Suecia;2018T1;72.761.338,57
Andalucía;Suiza;2023T2;68.417.546,27
Andalucía;Suiza;2023T1;38.399.513,92
